# STATE LOG - Positions and velocities of all drones - Simulation Time [s], identifier, aircraft type, latitude, longitude, altitude, heading, track angle, true airspeed, ground speed, ground speed north, ground speed east, vertical speed, longitudinal acceleration
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, vs, ax
3.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,0.00000000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
3.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,0.00000000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
3.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,0.00000000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
3.00000000,SURVEILLANCEOP5,M600,52.36784400,9.73461600,0.00000000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
4.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,0.72390000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,1.44780000,0.00000000
4.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,0.72390000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,1.44780000,0.00000000
4.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,0.72390000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,1.44780000,0.00000000
4.00000000,SURVEILLANCEOP5,M600,52.36784400,9.73461600,0.72390000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,1.44780000,0.00000000
5.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,3.28295000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
5.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,3.28295000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
5.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,3.28295000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
5.00000000,SURVEILLANCEOP5,M600,52.36784400,9.73461600,3.28295000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
6.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,7.34695000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
6.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,7.34695000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
6.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,7.34695000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
6.00000000,SURVEILLANCEOP5,M600,52.36784400,9.73461600,7.34695000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
7.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,11.41095000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
7.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,11.41095000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
7.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,11.41095000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
7.00000000,SURVEILLANCEOP5,M600,52.36784400,9.73461600,11.41095000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
8.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,15.47495000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
8.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,15.47495000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
8.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,15.47495000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
8.00000000,SURVEILLANCEOP5,M600,52.36784392,9.73461601,15.24000000,175.11365891,175.11365891,0.17500000,0.17500000,-0.17436399,0.01490639,3.91160000,3.50000000
9.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,19.53895000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
9.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,19.53895000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
9.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,19.53895000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
9.00000000,SURVEILLANCEOP5,M600,52.36786123,9.73462317,15.24000000,12.33811398,12.33811398,3.67500000,3.67500000,3.59012090,0.78527504,2.38760000,3.50000000
10.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,23.60295000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
10.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,23.60295000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
10.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,23.60295000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
10.00000000,SURVEILLANCEOP5,M600,52.36790405,9.73463851,15.24000000,12.33812595,12.33812595,5.14820599,5.14820599,5.02930098,1.10007117,0.00000000,0.00000000
11.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,27.66695000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
11.00000000,SURVEILLANCEOP3,M600,52.36084700,9.72629100,27.66695000,165.71790342,165.71790342,0.00000000,0.00000000,-0.00000000,0.00000000,4.06400000,0.00000000
11.00000000,SURVEILLANCEOP4,M600,52.36372900,9.73285700,27.66695000,288.42238547,288.42238547,0.00000000,0.00000000,0.00000000,-0.00000000,4.06400000,0.00000000
11.00000000,SURVEILLANCEOP5,M600,52.36794928,9.73465471,15.24000000,12.33813878,12.33813878,5.14820599,5.14820599,5.02930073,1.10007229,0.00000000,0.00000000
12.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,31.73095000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
12.00000000,SURVEILLANCEOP3,M600,52.36084837,9.72629128,30.48000000,342.13879486,342.13879486,1.05000000,1.05000000,0.99939241,-0.32204784,3.53060000,3.50000000
12.00000000,SURVEILLANCEOP4,M600,52.36372907,9.73285926,30.48000000,112.00149403,112.00149403,1.05000000,1.05000000,-0.39336231,0.97353279,3.53060000,3.50000000
12.00000000,SURVEILLANCEOP5,M600,52.36799451,9.73467091,15.24000000,12.33815161,12.33815161,5.14820599,5.14820599,5.02930048,1.10007342,0.00000000,0.00000000
13.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,35.79495000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
13.00000000,SURVEILLANCEOP3,M600,52.36087247,9.72627547,30.48000000,338.16904165,338.16904165,4.55000000,4.55000000,4.22369690,-1.69200607,2.00660000,3.50000000
13.00000000,SURVEILLANCEOP4,M600,52.36371800,9.73289772,30.48000000,115.24047328,115.24047328,4.55000000,4.55000000,-1.94020348,4.11559357,2.00660000,3.50000000
13.00000000,SURVEILLANCEOP5,M600,52.36803974,9.73468712,15.24000000,12.33816444,12.33816444,5.14820599,5.14820599,5.02930024,1.10007455,0.00000000,0.00000000
14.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,39.85895000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
14.00000000,SURVEILLANCEOP3,M600,52.36092580,9.72624049,30.48000000,338.16901471,338.16901471,8.05000000,8.05000000,7.47269310,-2.99355271,0.00000000,3.50000000
14.00000000,SURVEILLANCEOP4,M600,52.36369351,9.73298281,30.48000000,115.24053885,115.24053885,8.05000000,8.05000000,-3.43267603,7.28143085,0.00000000,3.50000000
14.00000000,SURVEILLANCEOP5,M600,52.36808497,9.73470332,15.24000000,12.33817727,12.33817727,5.14820599,5.14820599,5.02929999,1.10007567,0.00000000,0.00000000
15.00000000,SURVEILLANCEOP6,M600,52.36116100,9.74298500,43.92295000,186.16865043,186.16865043,0.00000000,0.00000000,-0.00000000,-0.00000000,4.06400000,0.00000000
15.00000000,SURVEILLANCEOP3,M600,52.36100623,9.72618773,30.48000000,338.16897341,338.16897341,10.30394886,10.30394886,9.56499693,-3.83173535,0.00000000,0.00000000
15.00000000,SURVEILLANCEOP4,M600,52.36365656,9.73311115,30.48000000,115.24063936,115.24063936,10.30394886,10.30394886,-4.39381987,9.32017752,0.00000000,0.00000000
15.00000000,SURVEILLANCEOP5,M600,52.36813020,9.73471952,15.24000000,12.33819011,12.33819011,5.14820599,5.14820599,5.02929974,1.10007680,0.00000000,0.00000000
16.00000000,SURVEILLANCEOP6,M600,52.36116578,9.74298427,45.72000000,2.36387625,2.36387625,1.92500000,1.92500000,1.92336189,0.07939801,3.14960000,3.50000000
16.00000000,SURVEILLANCEOP3,M600,52.36109225,9.72613130,30.48000000,338.16892872,338.16892872,10.30394886,10.30394886,9.56499394,-3.83174281,0.00000000,0.00000000
16.00000000,SURVEILLANCEOP4,M600,52.36361704,9.73324841,30.48000000,115.24074815,115.24074815,10.30394886,10.30394886,-4.39383756,9.32016918,0.00000000,0.00000000
16.00000000,SURVEILLANCEOP5,M600,52.36817543,9.73473573,15.24000000,12.33820294,12.33820294,5.14820599,5.14820599,5.02929950,1.10007793,0.00000000,0.00000000
17.00000000,SURVEILLANCEOP6,M600,52.36119959,9.74298655,45.72000000,2.36387797,2.36387797,5.42500000,5.42500000,5.42038350,0.22375819,1.62560000,3.50000000
17.00000000,SURVEILLANCEOP3,M600,52.36117827,9.72607487,30.48000000,338.16888403,338.16888403,10.30394886,10.30394886,9.56499095,-3.83175027,0.00000000,0.00000000
17.00000000,SURVEILLANCEOP4,M600,52.36357753,9.73338567,30.48000000,115.24085694,115.24085694,10.30394886,10.30394886,-4.39385526,9.32016084,0.00000000,0.00000000
17.00000000,SURVEILLANCEOP5,M600,52.36822066,9.73475193,15.24000000,12.33821577,12.33821577,5.14820599,5.14820599,5.02929925,1.10007905,0.00000000,0.00000000
18.00000000,SURVEILLANCEOP6,M600,52.36126485,9.74299096,45.72000000,2.36388138,2.36388138,8.92500000,8.92500000,8.91740509,0.36811885,0.00000000,3.50000000
