# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND9,takeoff,0
72.05000000,BACKGROUND10,takeoff,0
80.05000000,BACKGROUND11,takeoff,0
87.05000000,BACKGROUND12,takeoff,0
94.05000000,BACKGROUND13,takeoff,0
101.05000000,BACKGROUND14,takeoff,0
108.05000000,BACKGROUND15,takeoff,0
116.05000000,BACKGROUND16,takeoff,0
123.05000000,BACKGROUND17,takeoff,0
130.05000000,BACKGROUND18,takeoff,0
137.05000000,BACKGROUND19,takeoff,0
144.05000000,BACKGROUND20,takeoff,0
152.05000000,BACKGROUND21,takeoff,0
152.15000000,BACKGROUND1,landing,2541.36750000
159.05000000,BACKGROUND22,takeoff,0
166.05000000,BACKGROUND23,takeoff,0
180.05000000,BACKGROUND24,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND25,takeoff,0
195.05000000,BACKGROUND26,takeoff,0
198.00000000,BACKGROUND3,landing,1542.43535998
202.05000000,BACKGROUND27,takeoff,0
209.05000000,BACKGROUND28,takeoff,0
216.05000000,BACKGROUND29,takeoff,0
224.05000000,BACKGROUND30,takeoff,0
231.05000000,BACKGROUND31,takeoff,0
238.05000000,BACKGROUND32,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,BACKGROUND11,landing,1827.57581560
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND33,takeoff,0
252.05000000,BACKGROUND34,takeoff,0
256.00000000,BACKGROUND7,landing,2797.30127824
259.05000000,BACKGROUND35,takeoff,0
267.05000000,BACKGROUND36,takeoff,0
274.05000000,BACKGROUND37,takeoff,0
278.35000000,BACKGROUND21,landing,1142.41672504
281.05000000,BACKGROUND38,takeoff,0
287.05000000,BACKGROUND2,landing,3218.83865573
288.05000000,BACKGROUND39,takeoff,0
295.05000000,BACKGROUND40,takeoff,0
302.40000000,BACKGROUND19,landing,2191.84169062
303.05000000,BACKGROUND41,takeoff,0
310.05000000,BACKGROUND42,takeoff,0
317.05000000,BACKGROUND43,takeoff,0
321.25000000,BACKGROUND14,landing,2084.13921773
324.05000000,BACKGROUND44,takeoff,0
328.55000000,BACKGROUND26,landing,1538.78057251
331.05000000,BACKGROUND45,takeoff,0
339.05000000,BACKGROUND46,takeoff,0
345.50000000,BACKGROUND4,landing,4566.50721979
346.05000000,BACKGROUND47,takeoff,0
352.55000000,BACKGROUND29,landing,1987.07135109
353.05000000,BACKGROUND48,takeoff,0
353.10000000,BACKGROUND30,landing,1553.60850859
360.05000000,BACKGROUND49,takeoff,0
367.05000000,BACKGROUND50,takeoff,0
369.05000000,BACKGROUND9,landing,3340.39431394
375.05000000,BACKGROUND51,takeoff,0
382.05000000,BACKGROUND52,takeoff,0
384.00000000,BACKGROUND28,landing,1875.46831899
389.05000000,BACKGROUND53,takeoff,0
396.05000000,BACKGROUND54,takeoff,0
403.05000000,BACKGROUND55,takeoff,0
405.65000000,BACKGROUND5,landing,5018.03588394
411.05000000,BACKGROUND56,takeoff,0
411.40000000,BACKGROUND31,landing,3240.33727107
