# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
680.00000000,BACKGROUND2,DELIVERY2,0.50574698
919.00000000,DELIVERY3,DELIVERY6,0.07354855
992.00000000,DELIVERY2,DELIVERY4,0.05135707
1219.00000000,DELIVERY6,DELIVERY9,0.07354855
1292.00000000,DELIVERY4,DELIVERY8,0.05135707
1519.00000000,DELIVERY11,DELIVERY9,0.07354855
1592.00000000,DELIVERY10,DELIVERY8,0.05135707
1819.00000000,DELIVERY11,DELIVERY15,0.07354855
1892.00000000,DELIVERY10,DELIVERY13,0.05135707
2064.00000000,BACKGROUND7,DELIVERY12,7.89171415
2119.00000000,DELIVERY15,DELIVERY16,0.07354855
2192.00000000,DELIVERY13,DELIVERY18,0.05135707
2355.00000000,BACKGROUND9,DELIVERY16,1.39899958
2419.00000000,DELIVERY16,DELIVERY21,0.07354855
2492.00000000,DELIVERY18,DELIVERY19,0.05135707
2719.00000000,DELIVERY21,DELIVERY22,0.07354855
2792.00000000,DELIVERY19,DELIVERY24,0.05135707
2928.00000000,BACKGROUND12,DELIVERY22,8.35902741
3019.00000000,DELIVERY22,DELIVERY25,0.07354855
3092.00000000,DELIVERY24,DELIVERY26,0.05135707
3319.00000000,DELIVERY25,DELIVERY30,0.07354855
3392.00000000,DELIVERY26,DELIVERY29,0.05135707
