# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
1.05000000,DELIVERY1,takeoff,0
151.05000000,BACKGROUND1,takeoff,0
221.80000000,BACKGROUND1,landing,1037.16312442
301.05000000,BACKGROUND2,takeoff,0
407.15000000,DELIVERY1,landing,4472.07316806
410.15000000,DELIVERY1,takeoff,0
600.05000000,DELIVERY2,takeoff,0
600.05000000,DELIVERY3,takeoff,0
630.50000000,BACKGROUND2,landing,4565.92790724
751.05000000,BACKGROUND3,takeoff,0
770.15000000,DELIVERY1,landing,4454.54573768
806.35000000,DELIVERY3,landing,1693.33987025
809.35000000,DELIVERY3,takeoff,0
884.45000000,DELIVERY2,landing,2650.77810408
887.45000000,DELIVERY2,takeoff,0
900.05000000,DELIVERY4,takeoff,0
900.05000000,DELIVERY5,takeoff,0
900.05000000,DELIVERY6,takeoff,0
901.05000000,BACKGROUND4,takeoff,0
1012.85000000,DELIVERY3,landing,1677.60927077
1051.05000000,BACKGROUND5,takeoff,0
1090.90000000,DELIVERY2,landing,2642.72146535
1106.35000000,DELIVERY6,landing,1693.33987025
1109.35000000,DELIVERY6,takeoff,0
1184.45000000,DELIVERY4,landing,2650.77810408
1187.45000000,DELIVERY4,takeoff,0
1200.05000000,DELIVERY7,takeoff,0
1200.05000000,DELIVERY8,takeoff,0
1200.05000000,DELIVERY9,takeoff,0
1201.05000000,BACKGROUND6,takeoff,0
1306.15000000,DELIVERY5,landing,4472.07316806
1309.15000000,DELIVERY5,takeoff,0
1312.85000000,DELIVERY6,landing,1677.60927077
1354.35000000,BACKGROUND3,landing,5070.45916865
1390.90000000,DELIVERY4,landing,2642.72146535
1406.35000000,DELIVERY9,landing,1693.33987025
1409.35000000,DELIVERY9,takeoff,0
1484.45000000,DELIVERY8,landing,2650.77810408
1487.45000000,DELIVERY8,takeoff,0
1500.05000000,DELIVERY10,takeoff,0
1500.05000000,DELIVERY11,takeoff,0
1500.05000000,DELIVERY12,takeoff,0
1580.05000000,BACKGROUND5,landing,3084.43400745
1606.15000000,DELIVERY7,landing,4472.07316806
1609.15000000,DELIVERY7,takeoff,0
1612.85000000,DELIVERY9,landing,1677.60927077
1617.80000000,BACKGROUND4,landing,4511.08919877
1651.05000000,BACKGROUND7,takeoff,0
1669.15000000,DELIVERY5,landing,4454.54573768
1690.90000000,DELIVERY8,landing,2642.72146535
1706.35000000,DELIVERY11,landing,1693.33987025
1709.35000000,DELIVERY11,takeoff,0
1721.05000000,BACKGROUND6,landing,4580.97362105
1784.45000000,DELIVERY10,landing,2650.77810408
1787.45000000,DELIVERY10,takeoff,0
1800.05000000,DELIVERY13,takeoff,0
1800.05000000,DELIVERY14,takeoff,0
1800.05000000,DELIVERY15,takeoff,0
1801.05000000,BACKGROUND8,takeoff,0
1813.95000000,BACKGROUND7,landing,1684.03285188
1906.15000000,DELIVERY12,landing,4472.07316806
1909.15000000,DELIVERY12,takeoff,0
1912.85000000,DELIVERY11,landing,1677.60927077
1951.05000000,BACKGROUND9,takeoff,0
1969.15000000,DELIVERY7,landing,4454.54573768
1990.90000000,DELIVERY10,landing,2642.72146535
2006.35000000,DELIVERY15,landing,1693.33987025
2009.35000000,DELIVERY15,takeoff,0
2031.10000000,BACKGROUND8,landing,3523.20811334
2084.45000000,DELIVERY13,landing,2650.77810408
2087.45000000,DELIVERY13,takeoff,0
2100.05000000,DELIVERY16,takeoff,0
2100.05000000,DELIVERY17,takeoff,0
2100.05000000,DELIVERY18,takeoff,0
2101.05000000,BACKGROUND10,takeoff,0
2206.15000000,DELIVERY14,landing,4472.07316806
2209.15000000,DELIVERY14,takeoff,0
2212.85000000,DELIVERY15,landing,1677.60927077
2251.05000000,BACKGROUND11,takeoff,0
2269.15000000,DELIVERY12,landing,4454.54573768
2290.90000000,DELIVERY13,landing,2642.72146535
2306.35000000,DELIVERY16,landing,1693.33987025
2309.35000000,DELIVERY16,takeoff,0
2384.45000000,DELIVERY18,landing,2650.77810408
2387.45000000,DELIVERY18,takeoff,0
2400.05000000,DELIVERY19,takeoff,0
2400.05000000,DELIVERY20,takeoff,0
