# STATE LOG - Positions and velocities of all drones - Simulation Time [s], identifier, aircraft type, latitude, longitude, altitude, heading, track angle, true airspeed, ground speed, ground speed north, ground speed east, vertical speed, longitudinal acceleration
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, vs, ax
82.00000000,BACKGROUND1,M600,52.39516035,9.84769369,75.00366000,212.27751223,212.27751223,1.97500000,1.97500000,-1.66980620,-1.05469060,0.00000000,3.50000000
83.00000000,BACKGROUND1,M600,52.39514101,9.84767368,75.00366000,212.27749656,212.27749656,2.58150723,2.58150723,-2.18259115,-1.37857733,0.00000000,0.00000000
84.00000000,BACKGROUND1,M600,52.39512138,9.84765336,75.00366000,212.27748046,212.27748046,2.58150723,2.58150723,-2.18259154,-1.37857671,0.00000000,0.00000000
85.00000000,BACKGROUND1,M600,52.39510176,9.84763304,75.00366000,212.27746436,212.27746436,2.58150723,2.58150723,-2.18259193,-1.37857610,0.00000000,0.00000000
86.00000000,BACKGROUND1,M600,52.39508213,9.84761273,75.00366000,212.27744826,212.27744826,2.58150723,2.58150723,-2.18259231,-1.37857549,0.00000000,0.00000000
87.00000000,BACKGROUND1,M600,52.39506250,9.84759241,75.00366000,212.27743216,212.27743216,2.58150723,2.58150723,-2.18259270,-1.37857487,0.00000000,0.00000000
88.00000000,BACKGROUND1,M600,52.39504287,9.84757209,75.00366000,212.27741606,212.27741606,2.58150723,2.58150723,-2.18259309,-1.37857426,0.00000000,0.00000000
89.00000000,BACKGROUND1,M600,52.39502324,9.84755178,75.00366000,212.27739995,212.27739995,2.58150723,2.58150723,-2.18259348,-1.37857365,0.00000000,0.00000000
90.00000000,BACKGROUND1,M600,52.39500361,9.84753146,75.00366000,212.27738385,212.27738385,2.58150723,2.58150723,-2.18259386,-1.37857303,0.00000000,0.00000000
91.00000000,BACKGROUND1,M600,52.39498398,9.84751114,75.00366000,212.27736775,212.27736775,2.58150723,2.58150723,-2.18259425,-1.37857242,0.00000000,0.00000000
92.00000000,BACKGROUND1,M600,52.39496436,9.84749082,75.00366000,212.27735165,212.27735165,2.58150723,2.58150723,-2.18259464,-1.37857181,0.00000000,0.00000000
93.00000000,BACKGROUND1,M600,52.39494473,9.84747051,75.00366000,212.27733555,212.27733555,2.58150723,2.58150723,-2.18259503,-1.37857119,0.00000000,0.00000000
94.00000000,BACKGROUND1,M600,52.39492510,9.84745019,75.00366000,212.27731944,212.27731944,2.58150723,2.58150723,-2.18259541,-1.37857058,0.00000000,0.00000000
95.00000000,BACKGROUND1,M600,52.39490547,9.84742987,75.00366000,212.27730334,212.27730334,2.58150723,2.58150723,-2.18259580,-1.37856997,0.00000000,0.00000000
96.00000000,BACKGROUND1,M600,52.39488584,9.84740956,75.00366000,212.27728724,212.27728724,2.58150723,2.58150723,-2.18259619,-1.37856935,0.00000000,0.00000000
97.00000000,BACKGROUND1,M600,52.39486621,9.84738924,75.00366000,212.27727113,212.27727113,2.58150723,2.58150723,-2.18259658,-1.37856874,0.00000000,0.00000000
98.00000000,BACKGROUND1,M600,52.39484658,9.84736892,75.00366000,212.27725502,212.27725502,2.58150723,2.58150723,-2.18259696,-1.37856813,0.00000000,0.00000000
99.00000000,BACKGROUND1,M600,52.39482696,9.84734861,75.00366000,212.27723892,212.27723892,2.58150723,2.58150723,-2.18259735,-1.37856751,0.00000000,0.00000000
100.00000000,BACKGROUND1,M600,52.39480733,9.84732829,75.00366000,212.27722281,212.27722281,2.58150723,2.58150723,-2.18259774,-1.37856690,0.00000000,0.00000000
101.00000000,BACKGROUND1,M600,52.39478770,9.84730797,75.00366000,212.27720671,212.27720671,2.58150723,2.58150723,-2.18259813,-1.37856629,0.00000000,0.00000000
102.00000000,BACKGROUND1,M600,52.39476807,9.84728765,75.00366000,212.27719060,212.27719060,2.58150723,2.58150723,-2.18259851,-1.37856567,0.00000000,0.00000000
103.00000000,BACKGROUND1,M600,52.39474844,9.84726734,75.00366000,212.27717449,212.27717449,2.58150723,2.58150723,-2.18259890,-1.37856506,0.00000000,0.00000000
104.00000000,BACKGROUND1,M600,52.39472881,9.84724702,75.00366000,212.27715837,212.27715837,2.58150723,2.58150723,-2.18259929,-1.37856444,0.00000000,0.00000000
105.00000000,BACKGROUND1,M600,52.39470918,9.84722670,75.00366000,212.27714225,212.27714225,2.58150723,2.58150723,-2.18259968,-1.37856383,0.00000000,0.00000000
106.00000000,BACKGROUND1,M600,52.39468956,9.84720639,75.00366000,212.27712613,212.27712613,2.58150723,2.58150723,-2.18260006,-1.37856322,0.00000000,0.00000000
107.00000000,BACKGROUND1,M600,52.39466993,9.84718607,75.00366000,212.27711001,212.27711001,2.58150723,2.58150723,-2.18260045,-1.37856260,0.00000000,0.00000000
108.00000000,BACKGROUND1,M600,52.39465030,9.84716575,75.00366000,212.27709386,212.27709386,2.58150723,2.58150723,-2.18260084,-1.37856199,0.00000000,0.00000000
109.00000000,BACKGROUND1,M600,52.39463067,9.84714544,75.00366000,212.27707766,212.27707766,2.58150723,2.58150723,-2.18260123,-1.37856137,0.00000000,0.00000000
110.00000000,BACKGROUND1,M600,52.39462049,9.84712108,75.00366000,336.43544300,336.43544300,2.58150723,2.58150723,2.36623588,-1.03204037,0.00000000,0.00000000
111.00000000,BACKGROUND1,M600,52.39465712,9.84711851,75.00366000,357.73766760,357.73766760,5.73150723,5.73150723,5.72703988,-0.22625062,0.00000000,3.50000000
