# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
22.05000000,BACKGROUND2,takeoff,0
29.05000000,BACKGROUND3,takeoff,0
36.05000000,BACKGROUND4,takeoff,0
44.05000000,BACKGROUND5,takeoff,0
58.05000000,BACKGROUND6,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND7,takeoff,0
72.05000000,BACKGROUND8,takeoff,0
87.05000000,BACKGROUND9,takeoff,0
94.05000000,BACKGROUND10,takeoff,0
108.05000000,BACKGROUND12,takeoff,0
116.05000000,BACKGROUND13,takeoff,0
123.05000000,BACKGROUND14,takeoff,0
137.05000000,BACKGROUND16,takeoff,0
144.05000000,BACKGROUND17,takeoff,0
152.05000000,BACKGROUND18,takeoff,0
159.15000000,BACKGROUND6,landing,1539.90712940
166.05000000,BACKGROUND19,takeoff,0
180.05000000,BACKGROUND21,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND22,takeoff,0
190.05000000,BACKGROUND15,takeoff,0
209.05000000,BACKGROUND24,takeoff,0
216.05000000,BACKGROUND25,takeoff,0
221.05000000,BACKGROUND11,takeoff,0
231.05000000,BACKGROUND27,takeoff,0
238.05000000,BACKGROUND28,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
240.60000000,BACKGROUND3,landing,3715.29711182
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND29,takeoff,0
274.05000000,BACKGROUND33,takeoff,0
285.95000000,BACKGROUND12,landing,3112.80135079
286.70000000,BACKGROUND10,landing,2139.53926825
288.05000000,BACKGROUND35,takeoff,0
297.70000000,BACKGROUND1,landing,4265.50347877
300.05000000,BACKGROUND20,takeoff,0
300.05000000,BACKGROUND23,takeoff,0
300.05000000,BACKGROUND31,takeoff,0
300.30000000,BACKGROUND21,landing,1751.33081859
300.30000000,BACKGROUND21,takeoff,0
300.75000000,BACKGROUND35,landing,214.68693302
300.75000000,BACKGROUND35,takeoff,0
301.25000000,BACKGROUND8,landing,3739.81037982
301.25000000,BACKGROUND8,takeoff,0
301.65000000,BACKGROUND16,landing,2174.68302399
301.65000000,BACKGROUND16,takeoff,0
301.90000000,BACKGROUND4,landing,3408.45836395
301.90000000,BACKGROUND4,takeoff,0
302.25000000,BACKGROUND29,landing,1060.45100379
302.25000000,BACKGROUND29,takeoff,0
303.15000000,BACKGROUND5,landing,4843.73694226
303.15000000,BACKGROUND5,takeoff,0
303.15000000,BACKGROUND24,landing,1093.59871389
303.15000000,BACKGROUND24,takeoff,0
303.80000000,BACKGROUND25,landing,1994.87658973
303.80000000,BACKGROUND25,takeoff,0
303.95000000,BACKGROUND9,landing,2941.25875309
303.95000000,BACKGROUND9,takeoff,0
304.00000000,BACKGROUND28,landing,1220.22679600
304.00000000,BACKGROUND28,takeoff,0
304.05000000,BACKGROUND19,landing,2299.14520518
304.05000000,BACKGROUND19,takeoff,0
304.30000000,BACKGROUND18,landing,1836.20228740
304.30000000,BACKGROUND18,takeoff,0
304.40000000,BACKGROUND33,landing,251.33490609
304.40000000,BACKGROUND33,takeoff,0
305.10000000,BACKGROUND22,landing,1959.27807246
305.10000000,BACKGROUND22,takeoff,0
306.40000000,BACKGROUND7,landing,4240.86187002
306.40000000,BACKGROUND7,takeoff,0
310.15000000,BACKGROUND2,landing,3273.35237348
310.55000000,BACKGROUND15,landing,1787.43852567
310.55000000,BACKGROUND15,takeoff,0
316.05000000,BACKGROUND27,landing,1183.24974384
316.05000000,BACKGROUND27,takeoff,0
317.05000000,BACKGROUND38,takeoff,0
323.80000000,BACKGROUND14,landing,2355.07421423
323.80000000,BACKGROUND14,takeoff,0
324.65000000,BACKGROUND17,landing,2807.60190706
324.65000000,BACKGROUND17,takeoff,0
331.05000000,BACKGROUND40,takeoff,0
339.05000000,BACKGROUND41,takeoff,0
344.25000000,BACKGROUND29,landing,290.81392344
360.05000000,BACKGROUND43,takeoff,0
364.95000000,BACKGROUND7,landing,457.09032328
372.05000000,BACKGROUND30,takeoff,0
382.05000000,BACKGROUND46,takeoff,0
384.45000000,BACKGROUND13,landing,2561.51049530
403.05000000,BACKGROUND49,takeoff,0
418.05000000,BACKGROUND51,takeoff,0
425.05000000,BACKGROUND52,takeoff,0
427.30000000,BACKGROUND24,landing,1044.41256278
432.05000000,BACKGROUND53,takeoff,0
437.25000000,BACKGROUND27,landing,889.51128265
437.75000000,BACKGROUND5,landing,396.96137423
442.75000000,BACKGROUND14,landing,700.58896197
