# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
977.00000000,DELIVERY3,DELIVERY6,0.81570730
1201.00000000,DELIVERY5,DELIVERY7,0.00000000
1202.00000000,DELIVERY5,DELIVERY7,0.00000000
1203.00000000,DELIVERY5,DELIVERY7,0.00000000
1204.00000000,DELIVERY5,DELIVERY7,0.00000000
1205.00000000,DELIVERY5,DELIVERY7,0.00000000
1206.00000000,DELIVERY5,DELIVERY7,0.00000000
1207.00000000,DELIVERY5,DELIVERY7,0.00000000
1208.00000000,DELIVERY5,DELIVERY7,0.00000000
1209.00000000,DELIVERY5,DELIVERY7,0.00000000
1210.00000000,DELIVERY5,DELIVERY7,0.00000000
1211.00000000,DELIVERY5,DELIVERY7,0.00000000
1212.00000000,DELIVERY5,DELIVERY7,0.00000000
1213.00000000,DELIVERY5,DELIVERY7,0.00000000
1214.00000000,DELIVERY5,DELIVERY7,0.00000000
1215.00000000,DELIVERY5,DELIVERY7,0.00000000
1216.00000000,DELIVERY5,DELIVERY7,0.00000000
1217.00000000,DELIVERY5,DELIVERY7,0.00000000
1218.00000000,DELIVERY5,DELIVERY7,0.00000000
1219.00000000,DELIVERY5,DELIVERY7,0.00000000
1220.00000000,DELIVERY5,DELIVERY7,0.00000000
1221.00000000,DELIVERY5,DELIVERY7,0.00000000
1222.00000000,DELIVERY5,DELIVERY7,0.00000000
1223.00000000,DELIVERY5,DELIVERY7,0.00000000
1224.00000000,DELIVERY5,DELIVERY7,0.00000000
1225.00000000,DELIVERY5,DELIVERY7,0.00000000
1226.00000000,DELIVERY5,DELIVERY7,0.00000000
1227.00000000,DELIVERY5,DELIVERY7,0.00000000
1228.00000000,DELIVERY5,DELIVERY7,0.00000000
1229.00000000,DELIVERY5,DELIVERY7,0.00000000
1230.00000000,DELIVERY5,DELIVERY7,0.00000000
1231.00000000,DELIVERY5,DELIVERY7,0.00000000
1232.00000000,DELIVERY5,DELIVERY7,0.00000000
1233.00000000,DELIVERY5,DELIVERY7,0.00000000
1234.00000000,DELIVERY5,DELIVERY7,0.00000000
1235.00000000,DELIVERY5,DELIVERY7,0.00000000
1236.00000000,DELIVERY5,DELIVERY7,0.00000000
1237.00000000,DELIVERY5,DELIVERY7,0.00000000
1238.00000000,DELIVERY5,DELIVERY7,0.00000000
1239.00000000,DELIVERY5,DELIVERY7,0.00000000
1240.00000000,DELIVERY5,DELIVERY7,0.00000000
1241.00000000,DELIVERY5,DELIVERY7,0.00000000
1242.00000000,DELIVERY5,DELIVERY7,0.00000000
1243.00000000,DELIVERY5,DELIVERY7,0.00000000
1244.00000000,DELIVERY5,DELIVERY7,0.00000000
1245.00000000,DELIVERY5,DELIVERY7,0.00000000
1246.00000000,DELIVERY5,DELIVERY7,0.00000000
1247.00000000,DELIVERY5,DELIVERY7,0.00000000
1248.00000000,DELIVERY5,DELIVERY7,0.00000000
1249.00000000,DELIVERY5,DELIVERY7,0.00000000
1250.00000000,DELIVERY5,DELIVERY7,0.00000000
1251.00000000,DELIVERY5,DELIVERY7,0.00000000
1252.00000000,DELIVERY5,DELIVERY7,0.00000000
1253.00000000,DELIVERY5,DELIVERY7,0.00000000
1254.00000000,DELIVERY5,DELIVERY7,0.00000000
1255.00000000,DELIVERY5,DELIVERY7,0.00000000
1256.00000000,DELIVERY5,DELIVERY7,0.00000000
1257.00000000,DELIVERY5,DELIVERY7,0.00000000
