# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND3,takeoff,0
363.60000000,BACKGROUND1,landing,4010.07032637
432.05000000,BACKGROUND4,takeoff,0
492.05000000,SURVEILLANCEOP5,takeoff,0
496.55000000,BACKGROUND3,landing,2730.54536005
504.05000000,BACKGROUND5,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
576.05000000,BACKGROUND6,takeoff,0
648.05000000,BACKGROUND7,takeoff,0
652.60000000,BACKGROUND2,landing,4447.74718413
676.95000000,BACKGROUND4,landing,2215.23319776
693.90000000,SURVEILLANCE_HELICOPTER,landing,8843.07020540
699.35000000,BACKGROUND6,landing,1454.37180668
792.05000000,BACKGROUND8,takeoff,0
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND9,takeoff,0
884.30000000,BACKGROUND7,landing,2762.00171203
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
936.05000000,BACKGROUND10,takeoff,0
943.85000000,BACKGROUND5,landing,4242.29425116
1008.05000000,BACKGROUND11,takeoff,0
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1080.05000000,BACKGROUND12,takeoff,0
1102.65000000,BACKGROUND8,landing,2138.86935444
1151.05000000,BACKGROUND13,takeoff,0
1164.00000000,BACKGROUND10,landing,3118.71845829
1177.50000000,BACKGROUND9,landing,4068.32001570
1187.40000000,BACKGROUND12,landing,1337.31929626
1196.65000000,SURVEILLANCEOP5,landing,6935.21343608
1223.05000000,BACKGROUND14,takeoff,0
1246.70000000,BACKGROUND11,landing,3168.54071024
1295.05000000,BACKGROUND15,takeoff,0
1363.50000000,BACKGROUND13,landing,2006.76953451
1439.05000000,BACKGROUND17,takeoff,0
1453.60000000,BACKGROUND14,landing,3902.88017611
1511.05000000,BACKGROUND18,takeoff,0
1583.05000000,BACKGROUND19,takeoff,0
1591.15000000,BACKGROUND15,landing,4088.46513233
1727.05000000,BACKGROUND20,takeoff,0
1777.15000000,BACKGROUND18,landing,4327.18295792
1799.05000000,BACKGROUND21,takeoff,0
