# STATE LOG - Positions and velocities of all drones - Simulation Time [s], identifier, aircraft type, latitude, longitude, altitude, heading, track angle, true airspeed, ground speed, ground speed north, ground speed east, vertical speed, longitudinal acceleration
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, vs, ax
2.00000000,DELIVERY1,M600,52.38949300,9.72348632,50.00244000,207.59671948,207.59671948,1.97500000,1.97500000,-1.75030446,-0.91490946,0.00000000,3.50000000
3.00000000,DELIVERY1,M600,52.38946945,9.72347806,50.00244000,227.96004082,193.93951234,5.47500000,2.59028541,-2.51400302,-0.62399305,0.00000000,3.50000000
4.00000000,DELIVERY1,M600,52.38943800,9.72345056,50.00244000,226.78684141,207.91229615,7.73521543,4.68965905,-4.14408845,-2.19532070,0.00000000,0.00000000
5.00000000,DELIVERY1,M600,52.38940073,9.72341821,50.00244000,226.78701779,207.91227052,7.73521543,4.68963537,-4.14406851,-2.19530776,0.00000000,0.00000000
6.00000000,DELIVERY1,M600,52.38936347,9.72338586,50.00244000,226.78719536,207.91224489,7.73521543,4.68961149,-4.14404839,-2.19529472,0.00000000,0.00000000
7.00000000,DELIVERY1,M600,52.38932620,9.72335351,50.00244000,226.78737412,207.91221925,7.73521543,4.68958741,-4.14402808,-2.19528160,0.00000000,0.00000000
8.00000000,DELIVERY1,M600,52.38928893,9.72332116,50.00244000,226.78755407,207.91219362,7.73521543,4.68956312,-4.14400760,-2.19526837,0.00000000,0.00000000
9.00000000,DELIVERY1,M600,52.38925166,9.72328881,50.00244000,226.78773521,207.91216799,7.73521543,4.68953862,-4.14398694,-2.19525505,0.00000000,0.00000000
10.00000000,DELIVERY1,M600,52.38921439,9.72325646,50.00244000,226.78791755,207.91214236,7.73521543,4.68951392,-4.14396610,-2.19524163,0.00000000,0.00000000
11.00000000,DELIVERY1,M600,52.38917713,9.72322411,50.00244000,226.78810109,207.91211672,7.73521543,4.68948902,-4.14394507,-2.19522812,0.00000000,0.00000000
12.00000000,DELIVERY1,M600,52.38913986,9.72319176,50.00244000,226.78828583,207.91209109,7.73521543,4.68946390,-4.14392386,-2.19521451,0.00000000,0.00000000
13.00000000,DELIVERY1,M600,52.38910259,9.72315941,50.00244000,226.78847178,207.91206546,7.73521543,4.68943858,-4.14390246,-2.19520080,0.00000000,0.00000000
14.00000000,DELIVERY1,M600,52.38906532,9.72312707,50.00244000,226.78865895,207.91203982,7.73521543,4.68941305,-4.14388088,-2.19518700,0.00000000,0.00000000
15.00000000,DELIVERY1,M600,52.38902806,9.72309472,50.00244000,226.78884733,207.91201419,7.73521543,4.68938731,-4.14385912,-2.19517309,0.00000000,0.00000000
16.00000000,DELIVERY1,M600,52.38899079,9.72306237,50.00244000,226.78903692,207.91198855,7.73521543,4.68936136,-4.14383717,-2.19515909,0.00000000,0.00000000
17.00000000,DELIVERY1,M600,52.38895353,9.72303002,50.00244000,226.78922774,207.91196292,7.73521543,4.68933519,-4.14381503,-2.19514499,0.00000000,0.00000000
18.00000000,DELIVERY1,M600,52.38891626,9.72299768,50.00244000,226.78941979,207.91193728,7.73521543,4.68930882,-4.14379271,-2.19513079,0.00000000,0.00000000
19.00000000,DELIVERY1,M600,52.38887899,9.72296533,50.00244000,226.78961306,207.91191165,7.73521543,4.68928224,-4.14377020,-2.19511649,0.00000000,0.00000000
20.00000000,DELIVERY1,M600,52.38884173,9.72293298,50.00244000,226.78980756,207.91188601,7.73521543,4.68925544,-4.14374750,-2.19510209,0.00000000,0.00000000
21.00000000,DELIVERY1,M600,52.38880446,9.72290064,50.00244000,226.79000330,207.91186037,7.73521543,4.68922843,-4.14372462,-2.19508760,0.00000000,0.00000000
22.00000000,DELIVERY1,M600,52.38876720,9.72286829,50.00244000,226.79020028,207.91183473,7.73521543,4.68920120,-4.14370154,-2.19507300,0.00000000,0.00000000
23.00000000,DELIVERY1,M600,52.38872993,9.72283594,50.00244000,226.79039850,207.91180909,7.73521543,4.68917376,-4.14367828,-2.19505830,0.00000000,0.00000000
24.00000000,DELIVERY1,M600,52.38869267,9.72280360,50.00244000,226.79059797,207.91178345,7.73521543,4.68914611,-4.14365482,-2.19504350,0.00000000,0.00000000
25.00000000,DELIVERY1,M600,52.38865540,9.72277125,50.00244000,226.79079868,207.91175780,7.73521543,4.68911824,-4.14363117,-2.19502860,0.00000000,0.00000000
26.00000000,DELIVERY1,M600,52.38861814,9.72273891,50.00244000,226.79100065,207.91173215,7.73521543,4.68909015,-4.14360733,-2.19501359,0.00000000,0.00000000
27.00000000,DELIVERY1,M600,52.38858087,9.72270656,50.00244000,226.79120387,207.91170649,7.73521543,4.68906184,-4.14358330,-2.19499849,0.00000000,0.00000000
28.00000000,DELIVERY1,M600,52.38854361,9.72267422,50.00244000,226.79140834,207.91168082,7.73521543,4.68903332,-4.14355908,-2.19498328,0.00000000,0.00000000
29.00000000,DELIVERY1,M600,52.38850635,9.72264187,50.00244000,226.79161406,207.91165512,7.73521543,4.68900458,-4.14353467,-2.19496796,0.00000000,0.00000000
30.00000000,DELIVERY1,M600,52.38846908,9.72260953,50.00244000,226.79182097,207.91162931,7.73521543,4.68897562,-4.14351007,-2.19495254,0.00000000,0.00000000
31.00000000,DELIVERY1,M600,52.38841880,9.72260962,50.00244000,186.23773205,161.82710895,8.78521543,7.97878186,-7.58079801,2.48846568,0.00000000,3.50000000
32.00000000,DELIVERY1,M600,52.38833373,9.72265590,50.00244000,178.71543011,161.52600729,12.28521543,11.73446054,-11.12975546,3.71834741,0.00000000,3.50000000
33.00000000,DELIVERY1,M600,52.38821737,9.72271988,50.00244000,174.69614987,161.39927128,15.78521543,15.36806531,-14.56530448,4.90197275,0.00000000,3.50000000
34.00000000,DELIVERY1,M600,52.38807271,9.72280002,50.00244000,172.86918815,161.23356289,18.00000000,17.64664069,-16.70850778,5.67712035,0.00000000,0.00000000
35.00000000,DELIVERY1,M600,52.38792245,9.72288367,50.00244000,172.86873971,161.23362919,18.00000000,17.64668032,-16.70855187,5.67711376,0.00000000,0.00000000
36.00000000,DELIVERY1,M600,52.38777219,9.72296733,50.00244000,172.86828764,161.23369550,18.00000000,17.64672029,-16.70859628,5.67710728,0.00000000,0.00000000
37.00000000,DELIVERY1,M600,52.38762200,9.72305097,50.00244000,172.86783188,161.11805616,17.82500000,17.47539151,-16.53499510,5.65537315,0.00000000,-3.50000000
38.00000000,DELIVERY1,M600,52.38748932,9.72312531,50.00244000,175.79904745,161.12129503,14.32500000,13.88121754,-13.13448693,4.49148678,0.00000000,-3.50000000
39.00000000,DELIVERY1,M600,52.38738748,9.72318236,50.00244000,180.72025621,161.12964028,10.82500000,10.22154217,-9.67216291,3.30593238,0.00000000,-3.50000000
40.00000000,DELIVERY1,M600,52.38731742,9.72322158,50.00244000,190.84995681,161.14737279,7.32500000,6.38461991,-6.04210327,2.06309462,0.00000000,-3.50000000
41.00000000,DELIVERY1,M600,52.38728261,9.72323847,50.00244000,229.37185140,229.37185140,3.82500000,3.82500000,-2.49063788,-2.90298949,0.00000000,-3.50000000
42.00000000,DELIVERY1,M600,52.38726426,9.72325334,50.08245000,157.27413318,157.27413318,1.52840602,1.52840602,-1.40974634,0.59045762,0.45720000,-3.50000000
43.00000000,DELIVERY1,M600,52.38726180,9.72325502,51.33975000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,1.98120000,0.00000000
44.00000000,DELIVERY1,M600,52.38726180,9.72325502,54.12105000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,3.50520000,0.00000000
45.00000000,DELIVERY1,M600,52.38726180,9.72325502,59.12105000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000
46.00000000,DELIVERY1,M600,52.38726180,9.72325502,64.12105000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000
47.00000000,DELIVERY1,M600,52.38726180,9.72325502,69.12105000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000
48.00000000,DELIVERY1,M600,52.38726180,9.72325502,74.12105000,157.27413486,157.27413486,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000
49.00000000,DELIVERY1,M600,52.38725193,9.72326180,75.00366000,157.27413959,157.27413959,2.80000000,2.80000000,-2.58261869,1.08170269,3.70460000,3.50000000
50.00000000,DELIVERY1,M600,52.38722064,9.72330915,75.00366000,179.37306498,132.23534473,5.01844917,5.45467291,-3.66650813,4.03858573,2.18060000,0.00000000
51.00000000,DELIVERY1,M600,52.38719208,9.72333955,75.00366000,215.11760692,158.28070099,5.01844917,2.96372249,-2.75332184,1.09675425,0.00000000,0.00000000
52.00000000,DELIVERY1,M600,52.38716732,9.72335571,75.00366000,215.11734922,158.28071379,5.01844917,2.96373888,-2.75333730,1.09675970,0.00000000,0.00000000
53.00000000,DELIVERY1,M600,52.38714255,9.72337188,75.00366000,215.11709125,158.28072660,5.01844917,2.96375528,-2.75335278,1.09676515,0.00000000,0.00000000
54.00000000,DELIVERY1,M600,52.38711779,9.72338804,75.00366000,215.11683300,158.28073940,5.01844917,2.96377169,-2.75336827,1.09677061,0.00000000,0.00000000
55.00000000,DELIVERY1,M600,52.38709303,9.72340420,75.00366000,215.11657448,158.28075220,5.01844917,2.96378811,-2.75338378,1.09677607,0.00000000,0.00000000
56.00000000,DELIVERY1,M600,52.38706827,9.72342036,75.00366000,215.11631569,158.28076501,5.01844917,2.96380456,-2.75339930,1.09678154,0.00000000,0.00000000
57.00000000,DELIVERY1,M600,52.38704351,9.72343652,75.00366000,215.11605662,158.28077781,5.01844917,2.96382101,-2.75341483,1.09678701,0.00000000,0.00000000
58.00000000,DELIVERY1,M600,52.38701875,9.72345268,75.00366000,215.11579729,158.28079061,5.01844917,2.96383748,-2.75343038,1.09679249,0.00000000,0.00000000
59.00000000,DELIVERY1,M600,52.38699398,9.72346884,75.00366000,215.11553768,158.28080342,5.01844917,2.96385397,-2.75344594,1.09679798,0.00000000,0.00000000
60.00000000,DELIVERY1,M600,52.38696922,9.72348500,75.00366000,215.11527779,158.28081622,5.01844917,2.96387047,-2.75346151,1.09680347,0.00000000,0.00000000
61.00000000,DELIVERY1,M600,52.38694446,9.72350117,75.00366000,215.11501764,158.28082902,5.01844917,2.96388698,-2.75347710,1.09680897,0.00000000,0.00000000
62.00000000,DELIVERY1,M600,52.38691970,9.72351733,75.00366000,215.11475721,158.28084183,5.01844917,2.96390351,-2.75349270,1.09681447,0.00000000,0.00000000
63.00000000,DELIVERY1,M600,52.38689493,9.72353349,75.00366000,215.11449651,158.28085463,5.01844917,2.96392006,-2.75350832,1.09681997,0.00000000,0.00000000
64.00000000,DELIVERY1,M600,52.38687017,9.72354965,75.00366000,215.11423554,158.28086744,5.01844917,2.96393661,-2.75352394,1.09682549,0.00000000,0.00000000
65.00000000,DELIVERY1,M600,52.38684541,9.72356581,75.00366000,215.11397429,158.28088024,5.01844917,2.96395319,-2.75353958,1.09683100,0.00000000,0.00000000
66.00000000,DELIVERY1,M600,52.38682064,9.72358198,75.00366000,215.11371277,158.28089304,5.01844917,2.96396977,-2.75355524,1.09683653,0.00000000,0.00000000
67.00000000,DELIVERY1,M600,52.38679588,9.72359814,75.00366000,215.11345098,158.28090585,5.01844917,2.96398637,-2.75357091,1.09684206,0.00000000,0.00000000
68.00000000,DELIVERY1,M600,52.38677112,9.72361430,75.00366000,215.11318892,158.28091865,5.01844917,2.96400299,-2.75358659,1.09684759,0.00000000,0.00000000
69.00000000,DELIVERY1,M600,52.38674635,9.72363046,75.00366000,215.11292658,158.28093146,5.01844917,2.96401962,-2.75360228,1.09685313,0.00000000,0.00000000
70.00000000,DELIVERY1,M600,52.38672159,9.72364662,75.00366000,215.11266396,158.28094426,5.01844917,2.96403627,-2.75361799,1.09685867,0.00000000,0.00000000
71.00000000,DELIVERY1,M600,52.38669683,9.72366279,75.00366000,215.11240108,158.28095707,5.01844917,2.96405293,-2.75363371,1.09686422,0.00000000,0.00000000
72.00000000,DELIVERY1,M600,52.38667206,9.72367895,75.00366000,215.11213792,158.28096987,5.01844917,2.96406960,-2.75364945,1.09686978,0.00000000,0.00000000
73.00000000,DELIVERY1,M600,52.38664730,9.72369511,75.00366000,215.11187448,158.28098268,5.01844917,2.96408629,-2.75366520,1.09687534,0.00000000,0.00000000
74.00000000,DELIVERY1,M600,52.38662253,9.72371127,75.00366000,215.11161078,158.28099548,5.01844917,2.96410299,-2.75368096,1.09688090,0.00000000,0.00000000
75.00000000,DELIVERY1,M600,52.38659777,9.72372744,75.00366000,215.11134680,158.28100829,5.01844917,2.96411971,-2.75369673,1.09688647,0.00000000,0.00000000
76.00000000,DELIVERY1,M600,52.38657300,9.72374360,75.00366000,215.11108254,158.28102109,5.01844917,2.96413644,-2.75371252,1.09689205,0.00000000,0.00000000
77.00000000,DELIVERY1,M600,52.38654824,9.72375976,75.00366000,215.11081801,158.28103389,5.01844917,2.96415318,-2.75372832,1.09689763,0.00000000,0.00000000
78.00000000,DELIVERY1,M600,52.38652347,9.72377592,75.00366000,215.11055321,158.28104670,5.01844917,2.96416994,-2.75374414,1.09690322,0.00000000,0.00000000
79.00000000,DELIVERY1,M600,52.38649871,9.72379209,75.00366000,215.11028813,158.28105951,5.01844917,2.96418671,-2.75375997,1.09690881,0.00000000,0.00000000
80.00000000,DELIVERY1,M600,52.38647394,9.72380825,75.00366000,215.11002278,158.28107231,5.01844917,2.96420350,-2.75377581,1.09691440,0.00000000,0.00000000
81.00000000,DELIVERY1,M600,52.38644706,9.72382517,75.00366000,204.14318015,156.96238167,5.71844917,4.20177435,-3.86667493,1.64430311,0.00000000,-3.50000000
82.00000000,DELIVERY1,M600,52.38639558,9.72385750,75.00366000,186.98402163,158.70112950,8.86844917,7.99732104,-7.45109112,2.90488982,0.00000000,3.50000000
83.00000000,DELIVERY1,M600,52.38631461,9.72390999,75.00366000,178.74041677,158.28305044,12.01844917,11.47872134,-10.66399786,4.24737486,0.00000000,3.50000000
84.00000000,DELIVERY1,M600,52.38620330,9.72398329,75.00366000,174.09014668,158.01757852,15.16844917,14.81323553,-13.73629466,5.54492162,0.00000000,3.50000000
85.00000000,DELIVERY1,M600,52.38606545,9.72407502,75.00366000,173.28316378,159.19505909,17.26844917,16.90039142,-15.79840225,6.00280906,0.00000000,-3.50000000
86.00000000,DELIVERY1,M600,52.38591836,9.72415363,75.00366000,175.66996362,162.15852748,18.00000000,17.43562650,-16.59711011,5.34200408,0.00000000,0.00000000
87.00000000,DELIVERY1,M600,52.38576910,9.72423234,75.00366000,175.66980023,162.15858989,18.00000000,17.43562581,-16.59711527,5.34198579,0.00000000,0.00000000
88.00000000,DELIVERY1,M600,52.38563611,9.72430302,75.00366000,178.89614814,162.03608514,14.50000000,13.81950156,-13.14581395,4.26218239,0.00000000,-3.50000000
89.00000000,DELIVERY1,M600,52.38553447,9.72435696,75.00366000,184.56313460,162.08628924,11.00000000,10.10345098,-9.61364403,3.10766313,0.00000000,-3.50000000
90.00000000,DELIVERY1,M600,52.38546537,9.72439319,75.00366000,196.21190541,163.34358473,7.74451774,6.35158477,-6.08507743,1.82056633,0.00000000,0.00000000
91.00000000,DELIVERY1,M600,52.38541628,9.72447312,75.00366000,120.14320858,103.36557057,7.74451774,10.97727428,-2.53754310,10.67995438,0.00000000,0.00000000
92.00000000,DELIVERY1,M600,52.38541551,9.72466137,75.00366000,96.66007827,89.49082601,10.54451774,14.45649778,0.12846977,14.45592693,0.00000000,3.50000000
93.00000000,DELIVERY1,M600,52.38541689,9.72490163,75.00366000,94.79952530,89.43834857,14.04451774,17.97852446,0.17623466,17.97766066,0.00000000,3.50000000
94.00000000,DELIVERY1,M600,52.38541870,9.72519371,75.00366000,93.68244372,89.40170270,17.54451774,21.49163786,0.22441715,21.49046613,0.00000000,3.50000000
95.00000000,DELIVERY1,M600,52.38542088,9.72551682,75.00366000,93.52586728,89.36266073,18.00000000,21.94921388,0.24415075,21.94785594,0.00000000,0.00000000
96.00000000,DELIVERY1,M600,52.38541994,9.72583977,75.00366000,96.61982094,91.89685410,18.00000000,21.87365986,-0.72402475,21.86167386,0.00000000,0.00000000
97.00000000,DELIVERY1,M600,52.38541343,9.72616189,75.00366000,96.61976770,91.89711138,18.00000000,21.87341610,-0.72411485,21.86142698,0.00000000,0.00000000
98.00000000,DELIVERY1,M600,52.38540692,9.72648401,75.00366000,96.61971112,91.89736974,18.00000000,21.87317045,-0.72420529,21.86117820,0.00000000,0.00000000
99.00000000,DELIVERY1,M600,52.38540040,9.72680612,75.00366000,96.61965417,91.89763159,18.00000000,21.87292284,-0.72429700,21.86092741,0.00000000,0.00000000
100.00000000,DELIVERY1,M600,52.38539400,9.72712825,75.00366000,96.52825745,91.82298794,18.00000000,21.87503128,-0.69588355,21.86395983,0.00000000,0.00000000
101.00000000,DELIVERY1,M600,52.38538774,9.72745041,75.00366000,96.52818677,91.82324525,18.00000000,21.87478003,-0.69597374,21.86370559,0.00000000,0.00000000
102.00000000,DELIVERY1,M600,52.38538151,9.72777217,75.00366000,96.57588872,91.78613261,17.65000000,21.52449769,-0.67089375,21.51403966,0.00000000,-3.50000000
103.00000000,DELIVERY1,M600,52.38537596,9.72806199,75.00366000,97.79525239,91.81050388,14.15000000,18.00815274,-0.56894949,17.99916280,0.00000000,-3.50000000
104.00000000,DELIVERY1,M600,52.38536809,9.72829850,75.00366000,115.16097285,103.13397608,10.65000000,13.98505025,-3.17780661,13.61922082,0.00000000,-3.50000000
105.00000000,DELIVERY1,M600,52.38530887,9.72840244,75.00366000,187.42703740,161.10440357,9.47711867,8.50584748,-8.04746950,2.75457366,0.00000000,3.50000000
106.00000000,DELIVERY1,M600,52.38521944,9.72845314,75.00366000,179.69734934,160.80343965,12.97711867,12.31137514,-11.62681481,4.04810267,0.00000000,3.50000000
107.00000000,DELIVERY1,M600,52.38509854,9.72852242,75.00366000,175.44229612,160.66741126,16.47711867,15.97574128,-15.07491410,5.28878760,0.00000000,3.50000000
108.00000000,DELIVERY1,M600,52.38495225,9.72860703,75.00366000,173.99065669,160.49149625,18.00000000,17.55904428,-16.55101357,5.86378596,0.00000000,0.00000000
109.00000000,DELIVERY1,M600,52.38480340,9.72869343,75.00366000,173.99034165,160.49156474,18.00000000,17.55905580,-16.55103144,5.86377002,0.00000000,0.00000000
110.00000000,DELIVERY1,M600,52.38465455,9.72877983,75.00366000,173.99002339,160.49163326,18.00000000,17.55906741,-16.55104939,5.86375411,0.00000000,0.00000000
111.00000000,DELIVERY1,M600,52.38450571,9.72886623,75.00366000,173.98970190,160.49170182,18.00000000,17.55907909,-16.55106742,5.86373820,0.00000000,0.00000000
